date,code,w
2020-02-28,000876.XSHE,0.00385
2020-02-28,000895.XSHE,0.00255
2020-02-28,000898.XSHE,0.00052
2020-02-28,000938.XSHE,0.0028000000000000004
2020-02-28,000961.XSHE,0.00116
2020-02-28,000963.XSHE,0.00127
2020-02-28,001979.XSHE,0.00414
2020-02-28,002001.XSHE,0.00234
2020-02-28,002007.XSHE,0.00263
2020-02-28,002008.XSHE,0.00245
2020-02-28,002010.XSHE,0.00061
2020-02-28,002024.XSHE,0.00261
2020-02-28,002027.XSHE,0.00414
2020-02-28,002032.XSHE,0.00091
2020-02-28,002044.XSHE,0.00272
2020-02-28,002050.XSHE,0.00207
2020-02-28,002081.XSHE,0.00105
2020-02-28,002120.XSHE,0.00149
2020-02-28,002142.XSHE,0.00534
2020-02-28,002146.XSHE,0.0011200000000000001
2020-02-28,002153.XSHE,0.00094
2020-02-28,002179.XSHE,0.00158
2020-02-28,002202.XSHE,0.00219
2020-02-28,002230.XSHE,0.0044800000000000005
2020-02-28,002236.XSHE,0.00264
2020-02-28,002241.XSHE,0.00381
2020-02-28,002252.XSHE,0.0013700000000000001
2020-02-28,002271.XSHE,0.00209
2020-02-28,002294.XSHE,0.00058
2020-02-28,002304.XSHE,0.00443
2020-02-28,002311.XSHE,0.0020399999999999997
2020-02-28,002352.XSHE,0.0032600000000000003
2020-02-28,002410.XSHE,0.00228
2020-02-28,002411.XSHE,0.0006
2020-02-28,002415.XSHE,0.00986
2020-02-28,002422.XSHE,0.00149
2020-02-28,002456.XSHE,0.00265
2020-02-28,002460.XSHE,0.003
2020-02-28,002466.XSHE,0.00213
2020-02-28,002468.XSHE,0.00043
2020-02-28,002475.XSHE,0.01157
2020-02-28,002493.XSHE,0.00147
2020-02-28,002508.XSHE,0.00111
2020-02-28,002555.XSHE,0.0027
2020-02-28,002558.XSHE,0.0008699999999999999
2020-02-28,002594.XSHE,0.00447
2020-02-28,002601.XSHE,0.0012
2020-02-28,002602.XSHE,0.00242
2020-02-28,002607.XSHE,0.00107
2020-02-28,002624.XSHE,0.00199
2020-02-28,002673.XSHE,0.00125
2020-02-28,002714.XSHE,0.00759
2020-02-28,002736.XSHE,0.00218
2020-02-28,002739.XSHE,0.0010199999999999999
2020-02-28,002773.XSHE,0.00066
2020-02-28,002841.XSHE,0.00049
2020-02-28,002916.XSHE,0.00159
2020-02-28,002938.XSHE,0.0008100000000000001
2020-02-28,002939.XSHE,0.00033
2020-02-28,002945.XSHE,0.00027
2020-02-28,002958.XSHE,0.00026
2020-02-28,300003.XSHE,0.0027600000000000003
2020-02-28,300015.XSHE,0.00374
2020-02-28,300017.XSHE,0.0014399999999999999
2020-02-28,300024.XSHE,0.00123
2020-02-28,300033.XSHE,0.002
2020-02-28,300059.XSHE,0.00703
2020-02-28,300070.XSHE,0.0014099999999999998
2020-02-28,300122.XSHE,0.00217
2020-02-28,300124.XSHE,0.00222
2020-02-28,300136.XSHE,0.00292
2020-02-28,300142.XSHE,0.00265
2020-02-28,300144.XSHE,0.00181
2020-02-28,300347.XSHE,0.0030299999999999997
2020-02-28,300408.XSHE,0.00188
2020-02-28,300413.XSHE,0.0017699999999999999
2020-02-28,300433.XSHE,0.00187
2020-02-28,300498.XSHE,0.00912
2020-02-28,600000.XSHG,0.0096
2020-02-28,600004.XSHG,0.00121
2020-02-28,600009.XSHG,0.00477
2020-02-28,600010.XSHG,0.00201
2020-02-28,600011.XSHG,0.00156
2020-02-28,600015.XSHG,0.00322
2020-02-28,600016.XSHG,0.010700000000000001
2020-02-28,600018.XSHG,0.00159
2020-02-28,600019.XSHG,0.0034899999999999996
2020-02-28,600023.XSHG,0.00106
2020-02-28,600025.XSHG,0.0005
2020-02-28,600027.XSHG,0.0008100000000000001
2020-02-28,600028.XSHG,0.00464
2020-02-28,600029.XSHG,0.00187
2020-02-28,600030.XSHG,0.013879999999999998
2020-02-28,600031.XSHG,0.00775
2020-02-28,600036.XSHG,0.02659
2020-02-28,600038.XSHG,0.0009
2020-02-28,600048.XSHG,0.00874
2020-02-28,600050.XSHG,0.00385
2020-02-28,600061.XSHG,0.00165
2020-02-28,600066.XSHG,0.00151
2020-02-28,600068.XSHG,0.0013900000000000002
2020-02-28,600085.XSHG,0.00108
2020-02-28,600089.XSHG,0.0017399999999999998
2020-02-28,600100.XSHG,0.00161
2020-02-28,600104.XSHG,0.005869999999999999
2020-02-28,600109.XSHG,0.00182
2020-02-28,600111.XSHG,0.0015
2020-02-28,600115.XSHG,0.00153
2020-02-28,600118.XSHG,0.0015199999999999999
2020-02-28,600153.XSHG,0.00082
2020-02-28,600170.XSHG,0.0011200000000000001
2020-02-28,600176.XSHG,0.00149
2020-02-28,600177.XSHG,0.0017299999999999998
2020-02-28,600183.XSHG,0.00265
2020-02-28,600188.XSHG,0.0005899999999999999
2020-02-28,600196.XSHG,0.0020399999999999997
2020-02-28,600208.XSHG,0.0010199999999999999
2020-02-28,600219.XSHG,0.00115
2020-02-28,600221.XSHG,0.00154
2020-02-28,600233.XSHG,0.0005899999999999999
2020-02-28,600271.XSHG,0.00199
2020-02-28,600276.XSHG,0.01963
2020-02-28,600297.XSHG,0.00101
2020-02-28,600299.XSHG,0.00021999999999999998
2020-02-28,600309.XSHG,0.00557
2020-02-28,600332.XSHG,0.0014399999999999999
2020-02-28,600340.XSHG,0.00214
2020-02-28,600346.XSHG,0.0023699999999999997
2020-02-28,600352.XSHG,0.00254
2020-02-28,600362.XSHG,0.00107
2020-02-28,600369.XSHG,0.00107
2020-02-28,600372.XSHG,0.0005600000000000001
2020-02-28,600383.XSHG,0.00243
2020-02-28,600390.XSHG,0.00028000000000000003
2020-02-28,600398.XSHG,0.00068
2020-02-28,600406.XSHG,0.00345
2020-02-28,600436.XSHG,0.0027300000000000002
2020-02-28,600438.XSHG,0.00252
2020-02-28,600482.XSHG,0.00086
2020-02-28,600487.XSHG,0.00165
2020-02-28,600489.XSHG,0.00106
2020-02-28,600498.XSHG,0.00159
2020-02-28,600516.XSHG,0.00124
2020-02-28,600519.XSHG,0.04003999999999999
2020-02-28,600522.XSHG,0.00156
2020-02-28,600535.XSHG,0.00105
2020-02-28,600547.XSHG,0.00266
2020-02-28,600566.XSHG,0.00057
2020-02-28,600570.XSHG,0.00466
2020-02-28,600583.XSHG,0.00097
2020-02-28,600585.XSHG,0.00827
2020-02-28,600588.XSHG,0.00435
2020-02-28,600606.XSHG,0.00161
2020-02-28,600637.XSHG,0.00158
2020-02-28,600655.XSHG,0.00082
2020-02-28,600660.XSHG,0.00245
2020-02-28,600663.XSHG,0.0007599999999999999
2020-02-28,600674.XSHG,0.00121
2020-02-28,600690.XSHG,0.00473
2020-02-28,600703.XSHG,0.00455
2020-02-28,600705.XSHG,0.0017299999999999998
2020-02-28,600733.XSHG,0.00068
2020-02-28,600741.XSHG,0.00335
2020-02-28,600760.XSHG,0.0008799999999999999
2020-02-28,600795.XSHG,0.00187
2020-02-28,600809.XSHG,0.0017000000000000001
2020-02-28,600816.XSHG,0.00049
2020-02-28,600837.XSHG,0.00867
2020-02-28,600848.XSHG,0.00061
2020-02-28,600867.XSHG,0.00122
2020-02-28,600886.XSHG,0.00193
2020-02-28,600887.XSHG,0.01329
2020-02-28,600893.XSHG,0.00157
2020-02-28,600900.XSHG,0.0113
2020-02-28,600919.XSHG,0.00444
2020-02-28,600926.XSHG,0.00133
2020-02-28,600928.XSHG,0.00023
2020-02-28,600958.XSHG,0.00269
2020-02-28,600968.XSHG,0.00039
2020-02-28,600977.XSHG,0.0007199999999999999
2020-02-28,600989.XSHG,0.00058
2020-02-28,600998.XSHG,0.0006900000000000001
2020-02-28,600999.XSHG,0.0038
2020-02-28,601006.XSHG,0.00317
2020-02-28,601009.XSHG,0.0034699999999999996
2020-02-28,601012.XSHG,0.00611
2020-02-28,601018.XSHG,0.00098
2020-02-28,601021.XSHG,0.00098
2020-02-28,601066.XSHG,0.00109
2020-02-28,601088.XSHG,0.00398
2020-02-28,601108.XSHG,0.0021
2020-02-28,601111.XSHG,0.00168
2020-02-28,601117.XSHG,0.0012900000000000001
2020-02-28,601138.XSHG,0.0023
2020-02-28,601155.XSHG,0.00218
2020-02-28,601162.XSHG,0.00026
2020-02-28,601166.XSHG,0.01895
2020-02-28,601169.XSHG,0.005699999999999999
2020-02-28,601186.XSHG,0.0033
2020-02-28,601198.XSHG,0.00126
2020-02-28,601211.XSHG,0.0057799999999999995
2020-02-28,601212.XSHG,0.00034
2020-02-28,601216.XSHG,0.0006900000000000001
2020-02-28,601225.XSHG,0.0023799999999999997
2020-02-28,601229.XSHG,0.00461
2020-02-28,601236.XSHG,0.00065
2020-02-28,601238.XSHG,0.0007599999999999999
2020-02-28,601288.XSHG,0.00985
2020-02-28,601298.XSHG,0.00021
2020-02-28,601318.XSHG,0.06347
2020-02-28,601319.XSHG,0.00054
2020-02-28,601328.XSHG,0.01077
2020-02-28,601336.XSHG,0.0027800000000000004
2020-02-28,601360.XSHG,0.00068
2020-02-28,601377.XSHG,0.00244
2020-02-28,601390.XSHG,0.0033
2020-02-28,601398.XSHG,0.00862
2020-02-28,601555.XSHG,0.00168
2020-02-28,601577.XSHG,0.00063
2020-02-28,601600.XSHG,0.00151
2020-02-28,601601.XSHG,0.00756
2020-02-28,601607.XSHG,0.0016200000000000001
2020-02-28,601618.XSHG,0.00146
2020-02-28,601628.XSHG,0.0037
2020-02-28,601633.XSHG,0.0008
2020-02-28,601668.XSHG,0.0085
2020-02-28,601669.XSHG,0.00245
2020-02-28,601688.XSHG,0.00617
2020-02-28,601698.XSHG,0.0005
2020-02-28,601727.XSHG,0.00124
2020-02-28,601766.XSHG,0.004699999999999999
2020-02-28,601788.XSHG,0.0017499999999999998
2020-02-28,601800.XSHG,0.00155
2020-02-28,601808.XSHG,0.00067
2020-02-28,601818.XSHG,0.00454
2020-02-28,601828.XSHG,0.00031
2020-02-28,601838.XSHG,0.00111
2020-02-28,601857.XSHG,0.0037099999999999998
2020-02-28,601877.XSHG,0.00219
2020-02-28,601878.XSHG,0.00106
2020-02-28,601881.XSHG,0.0010199999999999999
2020-02-28,601888.XSHG,0.0057799999999999995
2020-02-28,601898.XSHG,0.0005899999999999999
2020-02-28,601899.XSHG,0.00431
2020-02-28,601901.XSHG,0.00227
2020-02-28,601919.XSHG,0.0011799999999999998
2020-02-28,601933.XSHG,0.00248
2020-02-28,601939.XSHG,0.00329
2020-02-28,601985.XSHG,0.00215
2020-02-28,601988.XSHG,0.005639999999999999
2020-02-28,601989.XSHG,0.0030399999999999997
2020-02-28,601992.XSHG,0.0008500000000000001
2020-02-28,601997.XSHG,0.0016300000000000002
2020-02-28,601998.XSHG,0.00125
2020-02-28,603019.XSHG,0.00215
2020-02-28,603156.XSHG,0.0008500000000000001
2020-02-28,603160.XSHG,0.00319
2020-02-28,603259.XSHG,0.00586
2020-02-28,603260.XSHG,0.00028000000000000003
2020-02-28,603288.XSHG,0.0060799999999999995
2020-02-28,603501.XSHG,0.00227
2020-02-28,603799.XSHG,0.00184
2020-02-28,603833.XSHG,0.00105
2020-02-28,603899.XSHG,0.00123
2020-02-28,603986.XSHG,0.00527
2020-02-28,603993.XSHG,0.00217
2020-03-31,000001.XSHE,0.00998
2020-03-31,000002.XSHE,0.01203
2020-03-31,000063.XSHE,0.00795
2020-03-31,000069.XSHE,0.00211
2020-03-31,000100.XSHE,0.0045000000000000005
2020-03-31,000157.XSHE,0.0023699999999999997
2020-03-31,000166.XSHE,0.00319
2020-03-31,000333.XSHE,0.0189
2020-03-31,000338.XSHE,0.00461
2020-03-31,000413.XSHE,0.00106
2020-03-31,000415.XSHE,0.00043
